Time(h)/Currency(c);Description
1659,37.88;Price after 69 days in Breach HC:
1683,39.03;Price after 70 days in Breach HC:
1707,40.32;Price after 71 days in Breach HC:
1731,41.8;Price after 72 days in Breach HC:
1755,43.06;Price after 73 days in Breach HC:
1779,44.26;Price after 74 days in Breach HC:
1803,45.59;Price after 75 days in Breach HC:
1827,46.81;Price after 76 days in Breach HC:
1851,48.06;Price after 77 days in Breach HC:
1875,49.32;Price after 78 days in Breach HC:
1899,50.42;Price after 79 days in Breach HC:
1923,51.19;Price after 80 days in Breach HC:
1947,52;Price after 81 days in Breach HC:
1971,52.65;Price after 82 days in Breach HC:
1995,53.42;Price after 83 days in Breach HC:
2019,54.12;Price after 84 days in Breach HC:
2043,54.93;Price after 85 days in Breach HC:
2067,55.95;Price after 86 days in Breach HC:
2091,57.36;Price after 87 days in Breach HC:
21,25;Price after 0 day in Legacy:
3,26.86;Price after 0 day in Legacy:
27,32.24;Price after 1 day in Legacy:
51,36.57;Price after 2 days in Legacy:
75,39.67;Price after 3 days in Legacy:
99,41.72;Price after 4 days in Legacy:
123,43.23;Price after 5 days in Legacy:
147,44.62;Price after 6 days in Legacy:
171,45.99;Price after 7 days in Legacy:
195,47.55;Price after 8 days in Legacy:
219,49.21;Price after 9 days in Legacy:
243,50.8;Price after 10 days in Legacy:
267,54.54;Price after 11 days in Legacy:
291,58.07;Price after 12 days in Legacy:
315,60.48;Price after 13 days in Legacy:
339,62.58;Price after 14 days in Legacy:
363,64.52;Price after 15 days in Legacy:
387,66.54;Price after 16 days in Legacy:
411,68.76;Price after 17 days in Legacy:
435,70.88;Price after 18 days in Legacy:
459,73;Price after 19 days in Legacy:
483,74.99;Price after 20 days in Legacy:
507,76.8;Price after 21 days in Legacy:
531,78.29;Price after 22 days in Legacy:
555,79.7;Price after 23 days in Legacy:
579,81.22;Price after 24 days in Legacy:
603,83.03;Price after 25 days in Legacy:
627,85.08;Price after 26 days in Legacy:
651,87.24;Price after 27 days in Legacy:
675,89.62;Price after 28 days in Legacy:
699,92.09;Price after 29 days in Legacy:
723,94.93;Price after 30 days in Legacy:
747,97.4;Price after 31 days in Legacy:
771,98.74;Price after 32 days in Legacy:
795,100.23;Price after 33 days in Legacy:
819,102.13;Price after 34 days in Legacy:
843,104.16;Price after 35 days in Legacy:
867,105.86;Price after 36 days in Legacy:
891,106.88;Price after 37 days in Legacy:
915,106.95;Price after 38 days in Legacy:
939,106.33;Price after 39 days in Legacy:
963,104.85;Price after 40 days in Legacy:
987,103.32;Price after 41 days in Legacy:
1011,101.59;Price after 42 days in Legacy:
1035,100.03;Price after 43 days in Legacy:
1059,99.21;Price after 44 days in Legacy:
1083,98.13;Price after 45 days in Legacy:
1107,96.83;Price after 46 days in Legacy:
1131,95.39;Price after 47 days in Legacy:
1155,94.1;Price after 48 days in Legacy:
1179,93.05;Price after 49 days in Legacy:
1203,92.46;Price after 50 days in Legacy:
1227,92.38;Price after 51 days in Legacy:
1251,92.93;Price after 52 days in Legacy:
1275,93.34;Price after 53 days in Legacy:
1299,93.5;Price after 54 days in Legacy:
1323,93.65;Price after 55 days in Legacy:
1347,93.9;Price after 56 days in Legacy:
1371,94.07;Price after 57 days in Legacy:
1395,94.14;Price after 58 days in Legacy:
1419,94.22;Price after 59 days in Legacy:
1443,94.29;Price after 60 days in Legacy:
1467,94.53;Price after 61 days in Legacy:
1491,94.89;Price after 62 days in Legacy:
1515,95.31;Price after 63 days in Legacy:
1539,95.73;Price after 64 days in Legacy:
1563,95.99;Price after 65 days in Legacy:
1587,96.23;Price after 66 days in Legacy:
1611,96.47;Price after 67 days in Legacy:
1635,96.72;Price after 68 days in Legacy:
1659,97.02;Price after 69 days in Legacy:
1683,97.4;Price after 70 days in Legacy:
1707,97.65;Price after 71 days in Legacy:
1731,97.9;Price after 72 days in Legacy:
1755,98.05;Price after 73 days in Legacy:
1779,98.11;Price after 74 days in Legacy:
1803,98.15;Price after 75 days in Legacy:
1827,98.13;Price after 76 days in Legacy:
1851,98.18;Price after 77 days in Legacy:
1875,98.18;Price after 78 days in Legacy:
1899,98.16;Price after 79 days in Legacy:
1923,98.06;Price after 80 days in Legacy:
1947,97.73;Price after 81 days in Legacy:
1971,97.26;Price after 82 days in Legacy:
1995,96.82;Price after 83 days in Legacy:
